time;agentIdA;agentIdB;type
0,0000;5;-1;Wall
0,0200;5;-1;Wall
0,4600;48;-1;Wall
0,4600;55;-1;Wall
0,4800;48;-1;Wall
0,5000;55;-1;Wall
0,5200;48;-1;Wall
0,5600;55;-1;Wall
0,9200;47;48;Agent
0,9400;47;48;Agent
0,9600;47;48;Agent
1,0200;5;-1;Wall
1,0400;5;-1;Wall
1,2600;34;-1;Wall
1,2800;34;-1;Wall
1,6400;30;-1;Wall
1,6600;30;-1;Wall
1,6800;52;-1;Wall
1,7200;52;-1;Wall
1,7600;12;13;Agent
1,7600;52;-1;Wall
1,7800;12;13;Agent
1,8000;12;13;Agent
1,8200;12;13;Agent
1,8400;12;13;Agent
1,8600;12;13;Agent
1,8800;12;13;Agent
1,9000;12;13;Agent
1,9200;12;13;Agent
1,9400;12;13;Agent
1,9600;12;13;Agent
1,9800;12;13;Agent
2,2600;29;-1;Wall
2,5400;68;-1;Wall
2,5600;68;-1;Wall
2,5800;68;-1;Wall
3,2400;29;57;Agent
3,2600;29;57;Agent
3,2800;29;57;Agent
3,3000;29;57;Agent
3,3200;29;57;Agent
3,3400;29;57;Agent
3,3600;29;57;Agent
3,3800;29;57;Agent
3,4000;29;57;Agent
3,4200;29;57;Agent
3,4400;29;57;Agent
3,4600;29;57;Agent
3,4800;29;57;Agent
3,5000;20;-1;Wall
3,5000;29;57;Agent
3,5200;20;-1;Wall
3,5200;29;57;Agent
3,5400;29;57;Agent
3,5600;20;-1;Wall
3,5600;29;57;Agent
3,5800;29;57;Agent
3,6000;20;-1;Wall
3,6000;29;57;Agent
3,6200;29;57;Agent
3,6200;62;68;Agent
3,6400;20;-1;Wall
3,6400;29;57;Agent
3,6400;57;58;Agent
3,6400;62;68;Agent
3,6600;29;57;Agent
3,6600;57;58;Agent
3,6600;62;68;Agent
3,6800;29;57;Agent
3,6800;57;58;Agent
3,6800;62;68;Agent
3,7000;20;-1;Wall
3,7000;29;57;Agent
3,7000;57;58;Agent
3,7000;62;68;Agent
3,7200;29;57;Agent
3,7200;57;58;Agent
3,7200;62;68;Agent
3,7400;29;57;Agent
3,7400;57;58;Agent
3,7400;62;68;Agent
3,7600;29;57;Agent
3,7800;29;57;Agent
3,8000;29;57;Agent
3,9200;29;57;Agent
4,1600;4;-1;Wall
4,1800;4;-1;Wall
4,2000;4;-1;Wall
4,2200;1;41;Agent
4,2200;4;-1;Wall
4,2400;1;41;Agent
4,2400;4;-1;Wall
4,2600;1;41;Agent
4,2800;1;41;Agent
4,3000;1;41;Agent
4,3200;1;41;Agent
4,3400;1;41;Agent
4,3600;1;41;Agent
4,3800;1;41;Agent
4,4000;1;41;Agent
4,4200;1;41;Agent
4,4400;1;41;Agent
4,4600;1;41;Agent
4,4800;1;41;Agent
4,5000;9;45;Agent
4,5200;9;45;Agent
4,5400;9;45;Agent
4,5600;9;45;Agent
4,5800;9;45;Agent
4,7200;34;-1;Wall
4,8200;42;-1;Wall
5,2200;60;-1;Wall
5,2800;60;-1;Wall
5,3000;60;-1;Wall
5,3200;60;-1;Wall
5,3400;60;-1;Wall
5,3600;60;-1;Wall
5,3800;60;-1;Wall
5,4000;60;-1;Wall
5,4200;34;66;Agent
5,4200;60;-1;Wall
5,4400;34;66;Agent
5,4600;34;66;Agent
5,4800;34;66;Agent
5,5400;60;-1;Wall
5,6000;60;-1;Wall
5,6400;60;-1;Wall
6,0400;18;47;Agent
6,0400;61;-1;Wall
6,0600;18;47;Agent
6,0600;61;-1;Wall
6,0800;18;47;Agent
6,0800;61;-1;Wall
6,4000;60;-1;Wall
6,4200;60;-1;Wall
6,4400;60;-1;Wall
6,4600;60;-1;Wall
6,4800;60;-1;Wall
6,5400;7;-1;Wall
6,5800;7;-1;Wall
6,6000;7;-1;Wall
6,6400;7;-1;Wall
6,6600;7;-1;Wall
6,6800;7;-1;Wall
6,7000;7;-1;Wall
6,7200;7;-1;Wall
6,8400;7;-1;Wall
6,8600;7;-1;Wall
6,8800;7;-1;Wall
6,9000;7;-1;Wall
6,9200;7;-1;Wall
6,9400;7;-1;Wall
6,9600;7;-1;Wall
6,9800;7;-1;Wall
7,0000;7;-1;Wall
7,0400;7;-1;Wall
7,1000;4;40;Agent
7,1200;4;40;Agent
7,1600;6;43;Agent
7,1800;6;43;Agent
7,2000;6;43;Agent
7,2200;6;43;Agent
7,2400;6;43;Agent
7,6600;61;-1;Wall
7,6800;61;-1;Wall
7,7000;61;-1;Wall
7,7200;61;-1;Wall
7,7400;61;-1;Wall
7,7600;61;-1;Wall
7,7800;61;-1;Wall
7,8000;61;-1;Wall
7,8200;61;-1;Wall
7,8400;61;-1;Wall
7,8600;61;-1;Wall
7,9000;61;-1;Wall
7,9200;61;-1;Wall
7,9400;61;-1;Wall
7,9600;61;-1;Wall
7,9800;61;-1;Wall
8,0000;61;-1;Wall
8,0200;61;-1;Wall
8,0400;61;-1;Wall
8,0600;61;-1;Wall
8,0800;61;-1;Wall
8,1000;61;-1;Wall
8,1200;61;-1;Wall
8,1400;61;-1;Wall
8,1600;61;-1;Wall
8,1800;61;-1;Wall
8,4800;61;-1;Wall
9,0600;8;-1;Wall
9,0800;8;-1;Wall
9,1200;8;-1;Wall
9,1400;5;8;Agent
9,1400;8;-1;Wall
9,1600;5;8;Agent
9,1600;8;-1;Wall
9,1800;5;8;Agent
9,1800;8;-1;Wall
9,2000;5;8;Agent
9,2000;8;-1;Wall
9,2200;5;8;Agent
9,3200;51;52;Agent
9,4600;17;-1;Wall
9,4800;17;-1;Wall
9,5000;17;-1;Wall
11,3800;24;57;Agent
12,6000;5;39;Agent
12,6200;5;39;Agent
12,6200;46;-1;Wall
12,6400;5;39;Agent
12,6600;5;39;Agent
12,6600;46;-1;Wall
12,6800;46;-1;Wall
12,7800;5;-1;Wall
12,7800;5;39;Agent
12,8000;5;-1;Wall
12,8000;5;39;Agent
12,8200;5;-1;Wall
12,8200;5;39;Agent
12,8400;5;-1;Wall
12,8400;5;39;Agent
12,8600;5;-1;Wall
12,8600;5;39;Agent
12,8800;5;-1;Wall
12,8800;5;39;Agent
12,9000;5;-1;Wall
12,9000;5;39;Agent
12,9200;5;-1;Wall
12,9200;5;39;Agent
12,9400;5;-1;Wall
12,9400;5;39;Agent
12,9600;5;-1;Wall
12,9600;5;39;Agent
12,9800;5;-1;Wall
12,9800;5;39;Agent
13,0000;5;-1;Wall
13,0000;5;39;Agent
13,0200;5;-1;Wall
13,0200;5;39;Agent
13,0400;5;-1;Wall
13,0400;5;39;Agent
13,0600;5;-1;Wall
13,0600;5;39;Agent
13,0800;5;-1;Wall
13,0800;5;39;Agent
13,1000;5;-1;Wall
13,1000;5;39;Agent
13,1200;5;-1;Wall
13,1200;5;39;Agent
13,1400;5;-1;Wall
13,1400;5;39;Agent
13,1600;5;-1;Wall
13,1600;5;39;Agent
13,1800;5;-1;Wall
13,1800;5;39;Agent
13,2000;5;-1;Wall
13,2000;5;39;Agent
13,2200;5;-1;Wall
13,2200;5;39;Agent
13,2400;5;-1;Wall
13,2400;5;39;Agent
13,2600;5;-1;Wall
13,2600;5;39;Agent
13,2800;5;-1;Wall
13,2800;5;39;Agent
13,3000;5;-1;Wall
13,3000;5;39;Agent
13,3200;5;-1;Wall
13,3200;5;39;Agent
13,3400;5;-1;Wall
13,3400;5;39;Agent
13,3600;5;-1;Wall
13,3600;5;39;Agent
13,3800;5;-1;Wall
13,3800;5;39;Agent
13,4000;5;-1;Wall
13,4000;5;39;Agent
13,4200;5;-1;Wall
13,4200;5;39;Agent
13,4400;5;-1;Wall
13,4400;5;39;Agent
13,4600;5;-1;Wall
13,4600;5;39;Agent
13,4800;5;-1;Wall
13,4800;5;39;Agent
13,5000;5;-1;Wall
13,5000;5;39;Agent
13,5200;5;-1;Wall
13,5200;5;39;Agent
13,5400;5;-1;Wall
13,5400;5;39;Agent
15,7200;61;-1;Wall
15,7400;61;-1;Wall
15,7600;61;-1;Wall
15,7800;61;-1;Wall
17,1600;60;-1;Wall
17,7800;60;-1;Wall
17,8000;60;-1;Wall
17,8200;60;-1;Wall
17,8400;60;-1;Wall
17,8600;60;-1;Wall
17,8800;60;-1;Wall
17,9000;60;-1;Wall
17,9200;60;-1;Wall
17,9400;60;-1;Wall
25,8200;2;39;Agent
25,9400;2;39;Agent
32,0000;2;39;Agent
32,0200;2;39;Agent
32,0400;2;39;Agent
32,0600;2;39;Agent
32,0800;2;39;Agent
32,1000;2;39;Agent
32,1200;2;39;Agent
32,2000;2;39;Agent
32,3200;2;39;Agent
